Customer,Inter-Arrival Time,Arrival Time,Wait Time,Service Time,Service Start Time,Service End Time,Time in System,Idle Time Before Service
356,5.74,1591.05,-0.0,3.35,1591.05,1594.4,3.35,0.91
357,4.9,1595.95,-0.0,5.74,1595.95,1601.69,5.74,1.55
358,6.07,1602.02,0.0,2.56,1602.02,1604.58,2.56,0.33
359,2.91,1604.93,0.0,2.16,1604.93,1607.09,2.16,0.35
360,1.46,1606.39,0.7,5.19,1607.09,1612.28,5.89,0.0
361,1.72,1608.11,4.17,3.21,1612.28,1615.49,7.38,0.0
362,4.4,1612.51,2.98,5.85,1615.49,1621.34,8.83,0.0
363,4.17,1616.68,4.66,1.35,1621.34,1622.69,6.01,0.0
364,2.06,1618.74,3.95,4.61,1622.69,1627.3,8.56,0.0
365,7.67,1626.4,0.9,4.23,1627.3,1631.53,5.13,0.0
366,5.88,1632.29,-0.0,4.18,1632.29,1636.47,4.18,0.76
367,3.74,1636.03,0.44,3.16,1636.47,1639.63,3.6,0.0
368,7.43,1643.46,0.0,4.95,1643.46,1648.41,4.95,3.83
369,2.53,1646.0,2.41,4.07,1648.41,1652.48,6.48,0.0
370,5.42,1651.42,1.06,4.91,1652.48,1657.39,5.97,0.0
371,2.74,1654.16,3.23,5.08,1657.39,1662.47,8.31,0.0
372,2.28,1656.44,6.03,3.39,1662.47,1665.86,9.42,0.0
373,4.5,1660.94,4.92,4.23,1665.86,1670.09,9.15,0.0
374,5.98,1666.92,3.17,5.71,1670.09,1675.8,8.88,0.0
375,7.41,1674.34,1.46,3.71,1675.8,1679.51,5.17,0.0
376,2.0,1676.34,3.17,3.17,1679.51,1682.68,6.34,0.0
377,4.64,1680.98,1.7,3.12,1682.68,1685.8,4.82,0.0
378,6.14,1687.12,0.0,1.84,1687.12,1688.96,1.84,1.32
379,2.22,1689.35,-0.0,3.95,1689.35,1693.3,3.95,0.39
380,7.2,1696.55,-0.0,2.6,1696.55,1699.15,2.6,3.25
381,1.19,1697.73,1.42,2.91,1699.15,1702.06,4.33,0.0
382,5.93,1703.67,-0.0,4.24,1703.67,1707.91,4.24,1.61
383,2.03,1705.7,2.21,3.59,1707.91,1711.5,5.8,0.0
384,1.79,1707.49,4.01,1.6,1711.5,1713.1,5.61,0.0
385,3.2,1710.69,2.41,3.91,1713.1,1717.01,6.32,0.0
